"Old Ward Code","New ward code","Ward","Borough","Year","Life_Expectancy","Childhood_Obesity","Incapacity_Benefit","Unemployment","Crime","Deliberate_Fires","GCSE_points","Unauthorised_Absence","Dependent_children","Public_Transport_Access","Homes_with_access"
"00AGGR","E05000140","Kilburn","Camden",2009,76.479092183122,24.4360902255639,9.53419885996639,8.60343193645213,152.989183537814,0.517760305326341,301.53,0.98,46.31,5.73968534482758,-5.36382389341104
"00AGGS","E05000141","King's Cross","Camden",2009,79.9390255616649,23.8297872340426,6.11503025118094,7.13452622278887,77.6022671109774,0.773158690454743,302.88,1.81,43.65,7.61365746333046,-2.24593095116034
"00AGGT","E05000142","Regent's Park","Camden",2009,78.7794520276536,22.8476821192053,7.89449447243586,7.13311567572164,69.0101724300129,1.45399091685107,296.74,1.19,37.47,6.58587447630001,6.70266410316017
"00AGGU","E05000143","St Pancras and Somers Town","Camden",2009,77.7825684378572,22.1218961625282,10.1725967600941,9.70484202488818,61.447274968068,0.969767484840134,294.46,1.55,50.86,6.3017044381492,1.2824385076135
"00AGGW","E05000144","Swiss Cottage","Camden",2009,82.7498295834802,20.8588957055215,4.26533865574565,3.01662075429214,118.604089236147,0.639116663455091,334.87,1.14,30.24,6.11692455396432,-0.649803333088967
"00AGGX","E05000145","West Hampstead","Camden",2009,82.2796552513488,22.2222222222222,5.92237998943865,3.98752186654141,124.58773366358,0.347299151213815,324.85,1.31,34.67,5.78252975920036,0.802354984158201
"00AHGE","E05000146","Addiscombe","Croydon",2009,79.570000799895,16.1803713527851,4.48888830994935,4.52953011876565,92.9402112032438,0.966942909629952,314.99,1.46,24.68,4.2757061219527,-20.3403866946865
"00AHGF","E05000147","Ashburton","Croydon",2009,80.3204950210086,24.4532803180915,4.79657738370259,5.55692128555386,94.7461584497248,1.45270476591291,318.42,1.1,25.65,2.68257170772559,5.14738905599061
"00AHGG","E05000148","Bensham Manor","Croydon",2009,81.9917145389743,25.6959314775161,4.76402221491734,6.53068803193339,115.083179817468,0.556848889356709,318.24,1.25,28.03,3.3503418215187,-10.3153332970098
"00AHGH","E05000149","Broad Green","Croydon",2009,79.8915395947906,25.8012820512821,5.7444381973737,6.15332545847192,152.786238570313,1.23455581622692,320.51,1.8,34.61,4.44881771959558,-11.1790874270224
"00AHGJ","E05000150","Coulsdon East","Croydon",2009,83.2820542840235,15.8974358974359,3.24790181765209,3.88038402434372,57.7892098818054,1.79943773462036,343.26,0.98,16.58,1.75166802013968,10.7016812429514
"00AHGK","E05000151","Coulsdon West","Croydon",2009,81.1626613179004,17.1641791044776,3.40097907245524,3.24449847745633,66.5522896996431,1.19506195210486,370.01,0.69,10.92,2.29405430847212,-5.06794060812495
"00AHGL","E05000152","Croham","Croydon",2009,81.0705582935617,21.3523131672598,3.53790338292005,3.77882421249911,95.9945664279741,0.451815017148347,337.36,1.02,18.18,3.15099424920128,-2.15121324883729
"00AHGM","E05000153","Fairfield","Croydon",2009,80.0342928710804,20.2020202020202,4.20201691936558,4.20557958788407,138.939227593484,0.749041306133834,328.74,1.72,27.77,5.79817726051925,-10.4777194221282
"00AHGN","E05000154","Fieldway","Croydon",2009,77.770336729515,22.9755178907721,7.45997230203939,9.51182639778573,114.982677105067,10.1745726878483,292.84,2.77,44.51,3.09871532072804,-10.8095257109387
"00AHGP","E05000155","Heathfield","Croydon",2009,83.4739502862389,17.3366834170854,3.47650853876269,3.77982080568272,122.495639933372,1.82246174369998,322.05,1.08,23.11,2.24863768548207,8.53914136254165
